Уровень,Количество учеников,Количество отзывов,Средняя оценка,Наличие сертификата,"Цена, ₽",Количество уроков,"Длительность уроков, ч"
0.0,0.011038796530064909,0.01042125348598268,1.0,yes,0.024160346695557965,0.1127348643006263,0.08
0.0,0.0072884361704915746,0.0066050198150594455,1.0,yes,0.015001250104175348,0.0407098121085595,0.03111111111111111
0.5,0.0010544339515502013,0.006311463378834581,1.0,yes,0.07042253521126761,0.038622129436325675,0.013333333333333334
0.5,0.0020450951786073084,0.010470179558686824,1.0,yes,0.0575047920660055,0.07620041753653445,0.0
0.0,0.0023185316548585207,0.014335339302314204,1.0,yes,0.020751729310775898,0.12839248434237996,0.07555555555555556
0.0,0.0009111637211821541,0.004158716179852243,1.0,yes,0.01665972164347029,0.08977035490605428,0.0
0.0,0.00023849251762485913,0.0001467782181124321,1.0,no,0.015001250104175348,0.081419624217119,0.08
0.0,0.0009242677056670365,0.0011252996721953128,1.0,yes,0.015001250104175348,0.0407098121085595,0.04888888888888889
0.0,0.0014527950798906254,0.0011742257448994569,1.0,yes,0.12417701475122928,0.2453027139874739,0.26666666666666666
0.0,0.00023237732486524736,0.00024463036352072017,1.0,no,0.020751729310775898,0.0020876826722338203,0.20444444444444446
0.0,0.00048310022800933004,0.0,0.0,no,0.024160346695557965,0.1951983298538622,0.13333333333333333
0.0,0.0007215927456341891,0.0023484514897989138,1.0,yes,0.040836736394699556,0.016701461377870562,0.0
0.0,0.001060549144309813,0.0018591907627574734,0.9800000000000001,yes,0.032502708559046585,0.08455114822546973,0.035555555555555556
0.0,0.009143086774585259,0.005675424433680709,0.9800000000000001,yes,0.02749395782981915,0.0824634655532359,0.057777777777777775
0.0,4.367994828294123e-05,9.785214540828808e-05,1.0,yes,0.004917076423035253,0.1430062630480167,0.057777777777777775
0.5,0.0009793044405035423,0.005137237633935124,0.9800000000000001,yes,0.12492707725643803,0.09081419624217119,0.06666666666666667
0.0,0.00017908778796005905,9.785214540828808e-05,1.0,no,0.01791815984665389,0.6315240083507306,0.41333333333333333
0.0,0.00018695017865098847,0.0007338910905621606,0.9800000000000001,yes,0.02749395782981915,0.17536534446764093,0.08
0.0,0.0012632241043426605,0.0005871128724497284,0.9800000000000001,no,0.019168264022001835,0.003131524008350731,0.31555555555555553
0.0,0.000318863622465471,0.001272077890307745,0.9800000000000001,yes,0.006250520876739728,0.011482254697286013,0.0
0.5,0.0014230927150582255,0.0021038211262781937,0.9800000000000001,yes,0.03991999333277773,0.14822546972860126,0.14222222222222222
0.0,0.0005459993535367654,0.0003424825089290083,1.0,no,0.020751729310775898,0.0020876826722338203,0.16444444444444445
0.5,0.0002087901527924591,0.0004892607270414403,0.9199999999999999,yes,0.016418034836236352,0.04175365344467641,0.0
0.5,0.0003896251386838358,0.0003424825089290083,0.9800000000000001,yes,0.008325693807817319,0.033402922755741124,0.0
0.5,0.0036429076867972986,0.02059787660844464,0.96,yes,0.021585132094341195,0.06367432150313153,0.02666666666666667
0.5,0.00043854668076072996,0.0006360389451538725,0.96,yes,0.01665972164347029,0.059498956158663886,0.0
0.0,0.0005154233897387066,0.002690933998727922,0.96,yes,0.008325693807817319,0.08663883089770355,0.0
0.5,0.001080641920519966,0.0016634864719408972,0.96,yes,0.020751729310775898,0.13674321503131523,0.08888888888888889
0.0,0.0005503673483650595,0.0010274475267870247,0.96,yes,0.006250520876739728,0.011482254697286013,0.0
0.0,0.0033747128043400396,0.006751798033171877,0.96,yes,0.007583965330444204,0.013569937369519834,0.0044444444444444444
0.0,0.0018511562082310494,0.002739860071432066,0.96,yes,0.004167013917826486,0.09916492693110647,0.04888888888888889
0.0,0.002097511116546838,0.0014677821811243212,0.9400000000000001,yes,0.08325693807817318,0.11586638830897704,0.07111111111111111
0.5,0.003751233958538993,0.0011252996721953128,0.9199999999999999,yes,0.012417701475122927,0.055323590814196244,0.0
0.0,0.00023674531969354148,0.0007828171632663047,0.9400000000000001,yes,0.02749395782981915,0.08977035490605428,0.03111111111111111
0.0,0.001593444513361696,0.0033269729438817944,0.9400000000000001,yes,0.016584715392949412,0.13987473903966596,0.09777777777777778
0.5,0.0008098262411657304,0.004256568325260532,0.9199999999999999,yes,0.012501041753479457,0.016701461377870562,0.008888888888888889
0.5,0.0007504215115009304,0.0005381867997455844,0.9,yes,0.008325693807817319,0.05741127348643006,0.0
0.0,0.0005634713328499419,0.0034248250892900825,0.9800000000000001,yes,0.009992499374947913,0.020876826722338204,0.017777777777777778
0.0,0.00010483187587905896,0.0005381867997455844,0.9,yes,0.007167263938661555,0.012526096033402923,0.0
0.5,0.00017821418899440023,0.0006849650178580166,0.9,yes,0.024918743228602384,0.016701461377870562,0.0
0.0,0.00032497881522508277,0.00039140858163315233,0.9199999999999999,yes,0.008250687557296441,0.04384133611691023,0.013333333333333334
0.0,0.0002446077103844709,0.0034248250892900825,0.96,yes,0.015834652887740646,0.026096033402922755,0.0044444444444444444
0.0,0.0026496256628432153,0.0029844904349527863,0.9,yes,0.016584715392949412,0.151356993736952,0.09333333333333334
0.5,0.000602783286304589,0.0007828171632663047,0.96,yes,0.002408534044503709,0.027139874739039668,0.0
0.0,0.0006438424376905538,0.001223151817603601,0.96,yes,0.012417701475122927,0.021920668058455117,0.013333333333333334
0.0,0.00022800933003695324,0.00229952541709477,0.8800000000000001,yes,0.04917076423035253,0.09394572025052192,0.0
0.0,0.00134534240711459,0.0017124125446450413,0.8800000000000001,yes,0.012417701475122927,0.013569937369519834,0.0
0.0,1.0,1.0,1.0,yes,0.0,0.06784968684759916,0.0
0.0,0.174266395268588,0.2619501932579872,1.0,yes,0.0,0.06784968684759916,0.0
0.0,0.07384706776507177,0.10548461275013454,0.9800000000000001,yes,0.0,0.07411273486430063,0.07111111111111111
0.0,0.0002664476845259415,0.00039140858163315233,1.0,no,0.01665972164347029,0.17014613778705637,0.0
0.5,0.00010483187587905896,4.892607270414404e-05,1.0,yes,0.008325693807817319,0.030271398747390398,0.0
0.5,1.485118241620002e-05,4.892607270414404e-05,1.0,no,0.049920826735561294,0.08350730688935282,0.0
0.0,0.0001913181734792826,9.785214540828808e-05,1.0,yes,0.030335861321776816,0.22964509394572025,0.017777777777777778
0.0,0.0001948125693419179,0.0006360389451538725,1.0,yes,0.012417701475122927,0.13674321503131523,0.07111111111111111
0.5,0.0011435410460474014,0.0006360389451538725,1.0,yes,0.016668055671305942,0.0407098121085595,0.035555555555555556
0.5,3.756475552332946e-05,9.785214540828808e-05,1.0,yes,0.049920826735561294,0.030271398747390398,0.0
0.0,0.0009006805335942483,0.0020059689808699056,1.0,yes,0.011667638969914159,0.12317327766179541,0.05333333333333334
0.5,5.1542338973870656e-05,4.892607270414404e-05,1.0,yes,0.049920826735561294,0.05323590814196242,0.0
0.0,0.0001389022355397531,0.00024463036352072017,1.0,yes,0.020751729310775898,0.10020876826722339,0.06222222222222222
0.0,0.00034507159143523576,0.00024463036352072017,1.0,yes,0.010750895907992332,0.06576200417536535,0.008888888888888889
0.0,0.0022940708838200736,0.005235089779343412,1.0,yes,0.007500625052087674,0.10855949895615867,0.044444444444444446
0.0,0.00018170858485703554,0.0004892607270414403,0.86,yes,0.016584715392949412,0.017745302713987474,0.013333333333333334
0.5,0.0050354244380574655,0.005675424433680709,0.9800000000000001,yes,0.025002083506958914,0.033402922755741124,0.0
0.0,0.006483851523119796,0.003473751161994227,0.9800000000000001,yes,0.012501041753479457,0.03444676409185804,0.008888888888888889
0.0,0.00010395827691340014,0.0002935564362248642,0.96,yes,0.00737561463455288,0.011482254697286013,0.0
0.5,0.00012230385519223545,0.00044033465433729633,0.96,yes,0.012417701475122927,0.013569937369519834,0.0
0.5,0.0008666101739335541,0.00039140858163315233,0.96,no,0.030002500208350696,0.04279749478079332,0.0
0.5,0.0004743642383527418,0.0006360389451538725,0.9400000000000001,yes,0.026668889074089507,0.12212943632567849,0.057777777777777775
0.0,0.000338956398675624,4.892607270414404e-05,0.8,yes,0.025002083506958914,0.07933194154488518,0.0
0.5,8.386550070324717e-05,0.00024463036352072017,0.96,yes,0.023335277939828317,0.07828810020876827,0.09333333333333334
0.5,0.0005066874000821183,0.001369930035716033,1.0,no,0.023751979331610967,0.10751565762004175,0.04888888888888889
0.5,7.250871414968244e-05,0.0005381867997455844,1.0,yes,0.014159513292774397,0.021920668058455117,0.0
0.5,0.0005398841607771537,0.0003424825089290083,1.0,yes,0.008325693807817319,0.04697286012526096,0.0
0.0,0.00022364133520865912,0.0001467782181124321,1.0,yes,0.010750895907992332,0.07724425887265135,0.0044444444444444444
0.5,5.32895369051883e-05,4.892607270414404e-05,0.8,yes,0.03241936828069006,0.021920668058455117,0.0
0.5,8.299190173758835e-05,0.0001467782181124321,1.0,yes,0.006667222268522377,0.027139874739039668,0.022222222222222223
0.5,0.00013191344381448253,0.0,0.0,yes,0.008334027835652971,0.027139874739039668,0.02666666666666667
0.0,0.0007783766784020127,0.00039140858163315233,1.0,yes,0.045820485040420036,0.6231732776617954,0.5822222222222222
0.0,4.3679948282941235e-06,4.892607270414404e-05,1.0,no,0.012501041753479457,0.12317327766179541,0.10222222222222223
0.0,3.494395862635299e-05,4.892607270414404e-05,1.0,no,0.010000833402783566,0.16701461377870563,0.1288888888888889
0.0,0.00127108649503359,0.002690933998727922,1.0,yes,0.012417701475122927,0.054279749478079335,0.0
0.0,0.0003800155500615887,0.0016145603992367532,0.9800000000000001,yes,0.025002083506958914,0.04697286012526096,0.0
0.5,0.0014178511212642724,0.00557757228827242,0.9800000000000001,yes,0.008334027835652971,0.025052192066805846,0.0
0.0,7.163511518402362e-05,9.785214540828808e-05,1.0,no,0.016668055671305942,0.2359081419624217,0.20444444444444446
0.0,0.0006639352139007068,0.0006360389451538725,0.9800000000000001,yes,0.03741978498208184,0.020876826722338204,0.0
0.0,0.0005276537752579301,0.0010274475267870247,0.9800000000000001,yes,0.008167347278939911,0.0041753653444676405,0.0
0.5,0.010670137766556884,0.020304320172219777,0.9800000000000001,yes,0.005833819484957079,0.04801670146137787,0.0
0.0,1.1356786553564721e-05,4.892607270414404e-05,1.0,no,0.016668055671305942,0.07828810020876827,0.08
0.0,0.00023325092383090617,0.0007828171632663047,0.9199999999999999,yes,0.011917659804983749,0.08037578288100208,0.008888888888888889
0.0,0.6665367916204388,0.4973824551103283,0.9400000000000001,yes,0.0,0.029227557411273485,0.022222222222222223
0.0,0.017083227773458318,0.014188561084201771,0.8800000000000001,yes,0.02250187515626302,0.04384133611691023,0.0
0.5,0.05100594920895614,0.007485689123734038,0.9800000000000001,yes,0.0,0.055323590814196244,0.022222222222222223
0.0,4.3679948282941235e-06,4.892607270414404e-05,1.0,yes,0.008334027835652971,0.030271398747390398,0.017777777777777778
0.5,9.784308415378837e-05,0.00019570429081657617,1.0,no,0.0010250854237853154,0.005219206680584551,0.0
0.5,0.00013628143864277665,4.892607270414404e-05,1.0,no,0.041670139178264856,0.030271398747390398,0.0
0.0,1.3977583450541195e-05,0.0001467782181124321,0.9400000000000001,yes,0.0018501541795149597,0.012526096033402923,0.0
0.5,6.289912552743538e-05,4.892607270414404e-05,1.0,no,0.033336111342611885,0.10647181628392484,0.02666666666666667
0.0,1.3977583450541195e-05,4.892607270414404e-05,1.0,yes,0.0027002250187515625,0.029227557411273485,0.008888888888888889
0.0,1.2230385519223546e-05,4.892607270414404e-05,1.0,yes,0.003750312526043837,0.021920668058455117,0.0
0.0,6.988791725270598e-06,0.00019570429081657617,1.0,yes,0.0291690974247854,0.010438413361169102,0.017777777777777778
0.0,1.310398448488237e-05,9.785214540828808e-05,1.0,yes,0.004167013917826486,0.019832985386221295,0.0
0.0,0.00011793586036394133,0.0001467782181124321,0.9400000000000001,yes,0.004158679889990833,0.030271398747390398,0.0
0.0,9.609588622247072e-06,4.892607270414404e-05,1.0,yes,0.005000416701391783,0.016701461377870562,0.0
0.0,9.609588622247072e-06,9.785214540828808e-05,1.0,yes,0.0029169097424785397,0.022964509394572025,0.0
0.0,2.4460771038447092e-05,4.892607270414404e-05,1.0,yes,0.009159096591382615,0.017745302713987474,0.0
0.0,1.9219177244494144e-05,0.0,0.0,yes,0.049920826735561294,0.38308977035490605,0.0
0.0,1.6598380347517668e-05,4.892607270414404e-05,1.0,yes,0.0032502708559046588,0.018789144050104383,0.0
0.0,0.00022014693934602382,0.0001467782181124321,1.0,yes,0.0291690974247854,0.04384133611691023,0.0
0.0,5.67839327678236e-05,4.892607270414404e-05,1.0,yes,0.02325193766147179,0.049060542797494784,0.06666666666666667
0.0,2.2713573107129442e-05,4.892607270414404e-05,1.0,yes,0.037494791232602714,0.029227557411273485,0.0
0.0,0.0011942097860556133,0.0021527471989823375,1.0,no,0.0145845487123927,0.1649269311064718,0.13333333333333333
0.0,1.1356786553564721e-05,4.892607270414404e-05,1.0,no,0.010000833402783566,0.11169102296450939,0.08444444444444445
0.0,0.000134534240711459,0.00044033465433729633,1.0,yes,0.016584715392949412,0.026096033402922755,0.0
0.0,2.8828765866741214e-05,0.0001467782181124321,1.0,yes,0.004167013917826486,0.012526096033402923,0.0
1.0,6.814071932138832e-05,0.0,0.0,no,0.2311025918826569,0.08037578288100208,0.0
0.0,0.00015724781381858843,0.0003424825089290083,0.9199999999999999,yes,0.008250687557296441,0.0020876826722338203,0.29333333333333333
0.0,3.6691156557670634e-05,0.0,0.0,yes,0.0065838819901658475,0.29436325678496866,0.5955555555555555
0.0,0.00013628143864277665,9.785214540828808e-05,1.0,yes,0.008250687557296441,0.0041753653444676405,0.38666666666666666
0.0,0.0008613685801396011,0.0002935564362248642,1.0,yes,0.032502708559046585,0.020876826722338204,0.0
0.0,0.00045514506110824765,0.0002935564362248642,1.0,yes,0.01791815984665389,0.07828810020876827,0.12
0.0,0.00044029387869204764,0.0010763735994911688,1.0,yes,0.015834652887740646,0.017745302713987474,0.0
0.0,6.115192759611773e-06,4.892607270414404e-05,1.0,yes,0.026668889074089507,0.04488517745302714,0.022222222222222223
0.5,1.8345578278835317e-05,9.785214540828808e-05,1.0,yes,0.047337278106508875,0.021920668058455117,0.0
0.5,1.0483187587905896e-05,0.0001467782181124321,1.0,yes,0.004167013917826486,0.03653444676409186,0.0
0.0,8.735989656588247e-07,4.892607270414404e-05,1.0,yes,0.020751729310775898,0.030271398747390398,0.0
0.0,1.3977583450541195e-05,4.892607270414404e-05,1.0,yes,0.004917076423035253,0.020876826722338204,0.017777777777777778
0.5,0.00023587172072788267,0.00024463036352072017,1.0,no,0.0025002083506958915,0.010438413361169102,0.0
